2025-03-03 17:34:22.660 | DEBUG | Game logger initialized with comprehensive debug logging
2025-03-03 17:34:22.913 | INFO | [player] {"health": 100, "max_health": 100, "position": {"x": 400, "y": 300}, "wetness": 0, "fire_resistance": 0, "has_obsidian_armor": false, "obsidian_armor_level": 0, "current_area": "BEACH", "damage_dealt": 0, "damage_taken": 0}
2025-03-03 17:34:22.914 | DEBUG | Created game state snapshot: logs\snapshot_20250303_173422.json
2025-03-03 17:34:22.914 | INFO | [enemy_spawn] {"type": "water_splasher", "id": 2647409248192, "health": 20, "damage": 1, "position": {"x": 677, "y": 161}, "area": "BEACH"}
2025-03-03 17:34:22.915 | INFO | [enemy_spawn] {"type": "water_splasher", "id": 2647409249248, "health": 20, "damage": 1, "position": {"x": 465, "y": 156}, "area": "BEACH"}
2025-03-03 17:34:22.916 | INFO | [enemy_spawn] {"type": "water_splasher", "id": 2647409249344, "health": 20, "damage": 1, "position": {"x": 504, "y": 88}, "area": "BEACH"}
2025-03-03 17:34:22.916 | INFO | [enemy_spawn] {"type": "water_splasher", "id": 2647409249488, "health": 20, "damage": 1, "position": {"x": 249, "y": 369}, "area": "BEACH"}
2025-03-03 17:34:22.916 | INFO | [enemy_spawn] {"type": "water_splasher", "id": 2647409249632, "health": 20, "damage": 1, "position": {"x": 490, "y": 168}, "area": "BEACH"}
2025-03-03 17:34:22.917 | INFO | [enemy_spawn] {"type": "water_splasher", "id": 2647409249728, "health": 20, "damage": 1, "position": {"x": 667, "y": 228}, "area": "BEACH"}
2025-03-03 17:34:22.917 | INFO | [enemy_spawn] {"type": "water_splasher", "id": 2647409249872, "health": 20, "damage": 1, "position": {"x": 555, "y": 164}, "area": "BEACH"}
2025-03-03 17:34:22.917 | INFO | [enemy_spawn] {"type": "water_splasher", "id": 2647409249968, "health": 20, "damage": 1, "position": {"x": 510, "y": 271}, "area": "BEACH"}
2025-03-03 17:34:22.917 | INFO | [enemy_spawn] {"type": "water_splasher", "id": 2647409250112, "health": 20, "damage": 1, "position": {"x": 477, "y": 460}, "area": "BEACH"}
2025-03-03 17:34:22.918 | INFO | [enemy_spawn] {"type": "water_splasher", "id": 2647409250208, "health": 20, "damage": 1, "position": {"x": 311, "y": 240}, "area": "BEACH"}
2025-03-03 17:34:22.918 | INFO | [enemy_spawn] {"type": "water_splasher", "id": 2647409250304, "health": 20, "damage": 1, "position": {"x": 304, "y": 104}, "area": "BEACH"}
2025-03-03 17:34:22.918 | INFO | [enemy_spawn] {"type": "water_splasher", "id": 2647409250400, "health": 20, "damage": 1, "position": {"x": 173, "y": 219}, "area": "BEACH"}
2025-03-03 17:34:22.918 | INFO | [enemy_spawn] {"type": "water_splasher", "id": 2647409250496, "health": 20, "damage": 1, "position": {"x": 528, "y": 197}, "area": "BEACH"}
2025-03-03 17:34:22.918 | INFO | [enemy_spawn] {"type": "water_splasher", "id": 2647409250592, "health": 20, "damage": 1, "position": {"x": 473, "y": 334}, "area": "BEACH"}
